Country Code,abs_error
FIN,1.3226226933428133
DEU,1.3337217823211431
LTU,1.45414705205852
ROU,1.650739034685552
BEL,1.7845707848639116
PRT,1.8845393838371525
SWE,1.9090854873653402
LVA,2.054435910212203
FRA,2.0596909128180023
BGR,2.099339779785445
AUT,2.3924788647561224
ITA,2.4219217036635747
GRC,2.4952337066904575
NLD,2.6615615539336286
ESP,2.7854070391841694
LUX,2.799575991139642
SVK,2.906612731258288
SVN,3.122798131721183
CZE,3.204162368831562
EST,3.2206397176153976
DNK,3.3979174047542138
HUN,3.424170394792982
CYP,3.576051357680678
POL,3.8459640307474103
HRV,4.688572339037339
MLT,5.479237203367442
IRL,6.7368880517933105
